dataset_name,CAT,adacapnetselu,adacapnetresblock,regularnetglu,regularnetstandard,adacapnetbatchresblock,adacapnetstandard,adacapnetfastselu,adacapnetfast,adacapnetglu,regularnetfast,regularnetselu,RF,regularnetresblock,regularnetfastselu,adacapnetbatchstandard,LGBM,CATfast,regularnetbatchresblock,XGBoost,xgb_sklearn,NuSVM,XRF,Enet,Lasso,regularnetbatchstandard,MARS,Ridge,CART,Kernel,Intercept
Abaloneabalone.data_task_R_target_-1,0.5380042284926158,0.5758567531956114,0.5707843947779752,0.5674772670330309,0.5632427501062993,0.5714713095948999,0.5707700121048318,0.576572217841876,0.5723991536337182,0.5664593240244545,0.5650637737289792,0.5716959714404904,0.5337680835717089,0.5509481667619399,0.5782886053720215,0.5512818331356472,0.5287661209150782,0.5243571845650985,0.5665136203943922,0.49501415417870476,0.5380434817501637,0.5488214732669661,0.5283585145865908,0.5203025655265225,0.5201833924989866,0.5671712195284206,0.5464235481148458,0.5200508164822254,0.12543492932095834,0.5207654202675938,-0.001278772588157707
Appliances energy predictionenergydata_complete.csv_task_R_target_2,0.6484278109938307,0.6369428199243916,0.6340235623546732,0.6563041727803156,0.6597344125078297,0.6384310671866883,0.6361744843960027,0.6248643630544936,0.6388891758829367,0.629843158112446,0.642075636882033,0.6065149900401484,0.657994519540415,0.6694589441124346,0.47439416920573974,0.5101247677354731,0.6131594334799034,0.3750131551914422,0.44079300650147235,0.6461626526242978,0.40156772352934117,0.3376485819905563,0.6944238331680815,0.2361300474646127,0.23613088598074045,0.5683433814570031,0.26580450497106833,0.2360886649446524,0.38518615074350826,0.23610120037007656,-0.00010710995621363492
Beijing PM2.5 DataPRSA_data_2010.1.1-2014.12.31.csv_task_R_target_5,0.7772859857086926,0.8420867829020029,0.83939592163558,0.8795565582049463,0.8570878896734175,0.7869277381954678,0.8307674442400858,0.7953058533955556,0.8017981565141536,0.8593597111368521,0.7931506932836951,0.7566020780223883,0.8565812732149581,0.8792927580452984,0.6789178918675669,0.6812856927569,0.7172843290523565,0.5505947596870107,0.8412805684528708,0.7800107836781548,0.5212831016517772,0.6079431640728794,0.8704754854960169,0.397238914725636,0.3972210040810139,0.7829432462292548,0.40013833613105926,0.39717992230453325,0.7076973920416622,0.3972255800030953,-0.00022323335739954402
Communities and Crimecommunities.data_task_R_target_-1,0.6764630959461806,0.6703842499349532,0.6745819378681961,0.6682308202384653,0.6695175768353054,0.6665303029559638,0.6777006596802062,0.6700465912672909,0.6768107265776246,0.666480914894322,0.6546128141871325,0.6652011285480341,0.6635139022258156,0.6722201442389577,0.6593566444332838,0.6768483102278485,0.6684349413263877,0.658336336035951,0.6518336848029599,0.6227194022559251,0.6667428183143758,0.6652754544467787,0.6728217699501767,0.6767516767219761,0.6764987344269671,0.6596691380005999,0.6673704334513811,0.6793198926498168,0.3295728541303505,0.6785016990629825,-0.002873891549160092
Computer Hardwaremachine.data_task_R_target_-1,0.9788234913202238,0.9987271569142095,0.9971922691882957,0.998591561040867,0.9947770016932205,0.9975354194986833,0.9966042469171343,0.9984917388623324,0.9958366954589362,0.9981497873133257,0.9935473489294809,0.9985648220173804,0.9727877748909984,0.9941262032148173,0.9975314840381367,0.9931188785880206,0.9666153837625411,0.9746253966045624,0.9792847701698044,0.9704995101764513,0.9805016753859584,0.9345630216853602,0.9847111772455811,0.9437166098800981,0.943623451507559,0.7440297878086503,0.970233503163431,0.9450785586577226,0.9552918240090736,0.9456787001150303,-0.01927912989929556
Concrete Slump Testslump_test.data_task_R_target_-1,0.8137430053252022,0.9889843288656269,0.9777803451263842,0.9785518356397255,0.9639596283413185,0.9778780935471977,0.9771201803901632,0.9880137005285923,0.9731084496045035,0.9888973145750821,0.960368016565438,0.9838591829111885,0.7482289145748766,0.9569823669928873,0.9776084850740243,0.9702786979805547,0.7756894911798594,0.82221117018034,0.9405496073084784,0.7595038385911852,0.821527304864557,0.8292501998709418,0.8787315156263235,0.8975611255865399,0.896537457928708,0.6275443272518306,0.9384821021414765,0.9004053715544378,0.6049269686782106,0.9013650564141222,-0.09513698124766876
Concrete Slump Testslump_test.data_task_R_target_-2,0.8545015703653605,0.9012530394475735,0.8812732646323124,0.8584386726314396,0.8668428289607718,0.8802259370225605,0.8910706524038041,0.9048680944379527,0.8914253882723335,0.8990805190500797,0.8609301631152878,0.9016143114787759,0.8794017768312855,0.8649092007292442,0.895406238110912,0.8921701753130545,0.8334742324855297,0.8625459397314537,0.864407033549238,0.8578911780481471,0.8781982667857555,0.836896081165486,0.8868979523295379,0.893100595405578,0.8906934515537419,0.64779849721124,0.8959414320422094,0.8964133014758126,0.7992893504418646,0.8995950173253654,-0.051197889636928715
Concrete Slump Testslump_test.data_task_R_target_-3,0.8291440329276487,0.8647875476852847,0.8127413631998295,0.812870521844553,0.8235137127512608,0.8206447444730468,0.8327482358529814,0.8409671985593713,0.8195866033414461,0.8282155701719909,0.8048354935629447,0.8321727933913113,0.8471839128489067,0.8197822208917304,0.8406499931991924,0.8272024065725976,0.7396855741811196,0.8385638837527514,0.789889853703419,0.8450510605238115,0.8365627183814311,0.7475155425427238,0.8596644729687244,0.8640981813051507,0.8648437135966809,0.6501766027443934,0.8518451508768653,0.8643235887547606,0.7568597655204219,0.8709564122154057,-0.0721167431944001
Electrical Grid Stability Simulated Data Data_for_UCI_named.csv_task_R_target_-2,0.9708622966107331,0.9716917427908778,0.971420603618118,0.9747152514153328,0.9720129878539107,0.9722631460251223,0.9697385794365706,0.9679276313018675,0.9697139486240406,0.9773296928578519,0.9718041681989049,0.9708642389639073,0.9190960556505058,0.9733597296334535,0.9578104025606953,0.9395928510581097,0.9491908204988467,0.9304014075033177,0.9759253649046709,0.9496348408974156,0.914497361632249,0.9683758910851814,0.9223835686472324,0.8158502476347916,0.8158576710751074,0.9764280676104603,0.8631985102065242,0.8158216196313706,0.7968686588955418,0.815879097620799,-0.0008013846288212082
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,0.9558833339128265,0.9358271614234231,0.9352315827724764,0.9439948341240914,0.9409226926921633,0.930264874015285,0.9321199055677395,0.9295205499369595,0.9283761243613314,0.9358042657207213,0.9356307172849311,0.9345427352167605,0.8518367450604808,0.9435616735818163,0.9322590550515528,0.9224267905721686,0.8890166088499629,0.893323114828212,0.9272837945489638,0.9150337559539381,0.8809605892312244,0.8958891030662801,0.9258963742218066,0.7826337662886376,0.7825861033963426,0.8515919998412376,0.8415090704843067,0.7826343576151242,0.8095461876556425,0.7835763214965091,-0.013244709243271757
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_7,0.9918552509871867,0.9865858040099139,0.987903116438099,0.9860616797062528,0.988646863594241,0.9872904869775981,0.9876871281134381,0.9838745986824531,0.9879270498148095,0.983133934161622,0.9880619763954451,0.9874121250177277,0.9849296777378346,0.9887324151786012,0.985408478224935,0.9876317494367031,0.9889756331118227,0.9864156846656871,0.9877837116110818,0.9899997607695077,0.9871777818330567,0.9881086558803511,0.9885280076405154,0.9488747155925799,0.9485563029388695,0.8878640070879944,0.9465717083757086,0.9475434829007637,0.9768703160395138,0.950892724533384,-0.008469874468763537
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_8,0.9418373785779179,0.9383845453066793,0.9331006384186775,0.9261225401933981,0.928755951541574,0.9345366502529391,0.9339832684555252,0.9383812438294651,0.9301342674712659,0.9363424517632746,0.9269960238796019,0.9342712576066743,0.8910267089250997,0.931248916523343,0.941085365849902,0.9322376320090937,0.9129210025609653,0.9178395086326828,0.9316569964446211,0.907031947741506,0.9184535214587772,0.9321589275548835,0.9152930337873683,0.8736859414657927,0.8752321882039678,0.8877053794364034,0.8813389853691543,0.8739538460666292,0.8195726046566453,0.876222036624557,-0.013657050267143723
Physicochemical Properties of Protein Tertiary StructureCASP.csv_task_R_target_6,0.9802744259097211,0.9751068183033418,0.9812703903705012,0.9825085447537539,0.9797040002345339,0.9728943572995166,0.9796315793489472,0.96704257923948,0.9752112064339012,0.9806867279689868,0.9740437463865165,0.9747170235181463,0.982375090694459,0.9786704629619896,0.968823281552222,0.9635042498181123,0.9764773440989234,0.963867487677659,0.6488773474252214,0.979333174789317,0.9686348469145332,0.9732001670839996,0.9838408490926153,0.9604115103532912,0.9605005123962471,0.9765577890959488,0.9622907398192357,0.9616032307791791,0.9648023051225495,0.9616036335192755,-0.00011271011790951638
QSAR Bioconcentration classes datasetGrisoni_et_al_2016_EnvInt88.csv_task_R_target_-1,0.8192777361684993,0.7731526357831804,0.7757565117010865,0.7688983220816906,0.769125314120129,0.7736192846797738,0.776354516076431,0.7753984507117311,0.7737530252338889,0.7785046984052479,0.766919879721746,0.7747178782047969,0.7949785314362885,0.7781045261779937,0.7663421577530359,0.7761827890031229,0.8002604514234625,0.8105384503386714,0.7658245114360182,0.7772719988995721,0.8052440011642545,0.7782479362208339,0.7948471635424488,0.7663204088393509,0.766162719516801,0.7282894970131865,0.7881958610095512,0.7654293323968866,0.6094852685068977,0.7285676983503998,-0.005941858710538294
QSAR aquatic toxicityqsar_aquatic_toxicity.csv_task_R_target_-1,0.5256746954402565,0.4547982290803443,0.40506415360594633,0.43191527959611287,0.43648876528196484,0.4236638924573743,0.36775666447159244,0.4478757702256496,0.38089404473362976,0.389494420731022,0.44416834735096977,0.4594997765522213,0.4815636928458826,0.44581053389808656,0.47021054591064476,0.4403128401219519,0.4819543790816708,0.49671022216762906,0.45863867773985534,0.4261548345822779,0.4791179236656977,0.4777593778567778,0.5028170068602064,0.4409238626715366,0.44627436631454753,0.44114906117469427,0.36219469504009205,0.42118886855020066,0.09445142807222635,0.3180684046984267,-0.0047855379613620744
QSAR fish toxicityqsar_fish_toxicity.csv_task_R_target_-1,0.642485806648299,0.6007571577135428,0.5707062571402778,0.5667076446661656,0.5790083679994036,0.5692443268407086,0.5861658021295866,0.5892802546684468,0.5663662667388997,0.5626494971586078,0.5864937580213381,0.5886127295958837,0.6152903600093755,0.3155926095214768,0.5898212859317382,0.5854194751513935,0.6130715464915456,0.6217154464625013,0.587837691379787,0.565145960943505,0.6091133966720907,0.6193224650275861,0.5989598672165818,0.5631530692574498,0.5633121061590585,0.5721717324462944,0.587634547229321,0.5587427587673238,0.2953084461768264,0.5566933800753131,-0.008628514290651666
Seoul Bike Sharing DemandSeoulBikeData.csv_task_R_target_1,0.9235823288064393,0.913619778782118,0.9082275960696846,0.9153346443021608,0.9141400760400687,0.9032996150676789,0.9097037615401409,0.8967247101652763,0.905706458723291,0.9099290713719027,0.9061318561746148,0.899262562796399,0.9151121222057121,0.9132999717259043,0.8486896584293715,0.8250399564939548,0.9192040037437804,0.8951844098116893,0.9157794256093549,0.9172458159675161,0.8990724707009313,0.8458817588692471,0.9207728737087864,0.7303502936331199,0.7303913984758712,0.9042144407984765,0.7376704233375013,0.7299726057823913,0.8388872800849982,0.7300618896678619,-0.0007733369515443298
Servoservo.data_task_R_target_-1,0.8927816747306487,0.878436617217219,0.877263865074241,0.8780192867048614,0.8719193378916674,0.8762199689572989,0.8711593459729287,0.8731496826839683,0.8651088392498082,0.8659410843731544,0.8677852519793159,0.8665067508240417,0.8868763893325253,0.8700022974477063,0.8804101967266732,0.8740284494671677,0.8443371573733934,0.8792369875766551,0.8739784189577005,0.8861864278179385,0.88774577646984,0.86333123110048,0.8327997179926859,0.8399108994036453,0.8397447559785153,0.7796023618401653,0.8446137824427918,0.8405340201340279,0.8234110798177516,0.8422654109152345,-0.0286795329169297
Yacht Hydrodynamicsyacht_hydrodynamics.data_task_R_target_-1,0.9825124647600282,0.9842372522095882,0.9854340680962663,0.9849762866993992,0.9846885221398921,0.9840229379370905,0.9846452205707467,0.9792341979898602,0.9842615649236756,0.9870850929217599,0.9821368487149311,0.9839993082464374,0.9726256352148628,0.9817379109929396,0.9744452290072608,0.9758454899637188,0.9624648522600783,0.9800063904724151,0.9618584683748038,0.9826799371236659,0.9825064723033023,0.9346211961619005,0.973622071967762,0.9624796367758787,0.962391726783878,0.8226454593691981,0.9605811435104583,0.9622020718750139,0.9708034756755752,0.9624691433846901,-0.022130633215935995
arashnic_marketing-seris-customer-lifetime-valuesquark_automotive_CLV_training_data.csv_task_R_target_2,0.8204839899514695,0.8441723685090103,0.8350106869060058,0.839288172896089,0.8320476253833551,0.8344353530092586,0.8389653259536928,0.8428753340031753,0.838406367480925,0.8403761672558288,0.8393024876206836,0.8398412600349172,0.8222267975555301,0.836661194316509,0.8439295370547735,0.8395392719446605,0.8226442666829108,0.8405985621903962,0.8336738655243426,0.7797687658363823,0.8462793609998392,0.8358766925501326,0.7969503955248534,0.7740908391461964,0.7741085516837578,0.8380925784994586,0.7705937286826028,0.7741693659424517,0.6915566334275154,0.7744600274221392,-0.0038647841399240754
harlfoxem_housesalespredictionkc_house_data.csv_task_R_target_2,0.5345270326153619,0.5388114058495794,0.5373241562852619,0.5392475678478454,0.5379952407105039,0.5383639047366199,0.5392467082071289,0.5369077257072855,0.5394734751284043,0.536907530163805,0.537198522235794,0.5377924488183026,0.534949862096602,0.5378241615201119,0.534813501003232,0.5343402041023875,0.5389330099730752,0.540745291829954,0.537543296977413,0.5324082502604683,0.5394770953881702,0.53559212808739,0.5328044327010197,0.41392468338096877,0.4141372303894473,0.5364506689866851,0.43078922060554825,0.4141875864922289,0.5324948784938002,0.4142527639883351,-0.00038385131409725525
how-much-did-it-rain-iitrain_task_R_target_-1,0.6003434524156853,0.578175967077876,0.5698507409561475,0.5619297508249884,0.5779414616356564,0.5718171806461294,0.5781202910229581,0.5742639289618183,0.5737154694604392,0.575107532161741,0.5705668002051208,0.5760367506834093,0.5492652345081493,0.570032538528015,0.5579893114728106,0.579613409677844,0.6002675033287245,0.6164958273790041,0.580233872865145,0.551181142051921,0.6188295909839786,0.5532410879341454,0.3273356311106597,0.6079392330238775,0.608500933879516,0.5776875346426885,0.6065582417596009,0.5853213962390365,0.271310591414915,0.5048633792522612,-0.001053358930915365
mercedes-benz-greener-manufacturingtrain.csv_task_R_target_1,0.903478156967409,0.8997207752582513,0.8883056993510173,0.8881983791724286,0.8858089448383458,0.8907736041391953,0.891921739027375,0.8987971239767669,0.8897927033792788,0.8944283854560524,0.8769764714820273,0.8955795054778614,0.9090797785329336,0.8843588893874468,0.8991458089526614,0.891987338916352,0.9055785822680666,0.9001153627345374,0.8890141117237291,0.8935176273158614,0.9026375342519934,0.8723163939935503,0.9015129963224797,0.8967927000996806,0.896794048334633,0.8878687603974871,0.8962327208494019,0.8966072142505878,0.8249104761571928,0.8966839784931562,-0.0014590099604195124
mirichoi0218_insuranceinsurance.csv_task_R_target_-1,-0.010364576172475427,0.017981424279580764,0.03535419567349145,-0.010261626701490802,-0.04854107199173467,0.03978435707708132,-0.04075215746944392,-0.022372966943865757,0.011016614765742904,-0.13752243201154093,0.006805280566848526,-0.023404959555360514,-0.02569656331283075,-0.0989859521466203,0.001835282230175856,-0.038369706070005574,-0.0796356560808078,0.004578460952794061,-0.004678151331587782,-0.2918709495213376,-0.2628749894189213,0.07902727641653051,-0.7613169867740317,-0.04530260482439678,-0.06005871984044919,0.0013661703480593312,-0.30748097458912965,-0.8508039560561238,-1.1879514651595542,-3.609471032476089,-0.04313025621301059
wiki4HEwiki4HE.csv_task_R_target_-10,0.7663596256656628,0.6553935673105672,0.689739677634623,0.6786202509532975,0.6876026338688922,0.6703958892566908,0.6850649910905174,0.6526756740292899,0.678009124655566,0.6840838952349266,0.6844221476060441,0.6524193107800526,0.7542362643987689,0.6822516611804031,0.6422633201278751,0.6782351872847223,0.7446871323362934,0.7492921507626376,0.6812287981752071,0.7175112798257473,0.7548521710746915,0.6497540039979137,0.6191906543693462,0.7746818476758788,0.7744844960719346,0.6835653232529361,0.7430215517540152,0.658010601390741,0.5510482678576472,0.5928943344310781,-0.007583947008999711
wiki4HEwiki4HE.csv_task_R_target_-11,0.7254086417188526,0.620630702109573,0.6613926583413393,0.6455048539982351,0.6608633332998212,0.653506258666239,0.647597474489034,0.6139419391238382,0.6300602603897845,0.65781804447944,0.6515216971718895,0.6169510213819469,0.7213257038660215,0.6679232923700169,0.6214483329766706,0.6348129483133954,0.7032469676593344,0.704468925770393,0.662129760085877,0.7009603148275708,0.7312020372459912,0.6316739530401535,0.5806929245443497,0.7294008753239497,0.7293181647407233,0.641893706299546,0.6916609249891523,0.6106811030787246,0.493223879778743,0.5654044099678159,-0.002858215970486562
