dataset_name,adacapnetselu,regularnetglu,adacapnetglu,adacapnetresblock,CAT,regularnetstandard,adacapnetstandard,regularnetselu,adacapnetbatchresblock,regularnetresblock,adacapnetfastselu,adacapnetfast,regularnetfast,regularnetfastselu,XGBoost,XRF,adacapnetbatchstandard,RF,regularnetbatchresblock,xgb_sklearn,LGBM,CATfast,NuSVM,MARS,Enet,Lasso,Ridge,Kernel,CART,regularnetbatchstandard,Intercept
Abaloneabalone.data_task_R_target_-1,0.9583595231123849,0.9673303892416157,0.9687371971165005,0.9637847597927566,1.0,0.9723103072523696,0.9639501346670614,0.9629293744892184,0.9629582523419586,0.9861508016257071,0.9575670241529277,0.9620330588217622,0.9704024892217392,0.9555822068293974,1.0451458461020102,1.010375030712186,0.9856542195410329,1.0045406605627913,0.9686235083456894,0.9999603793855609,1.0102637411859576,1.0146596107463979,0.9885534086276196,0.9911304506191752,1.0192116484902245,1.0193228643838066,1.019448262956212,1.0186929151118753,1.375718123934916,0.9675755832378365,1.4739673792984054
Appliances energy predictionenergydata_complete.csv_task_R_target_2,1.0163196289136438,0.9888859587457353,1.0261083130645179,1.020501236933131,1.0,0.9837625108122868,1.0174880805217872,1.0581771067636274,1.0143743447813462,0.9696472310485653,1.0331461414872734,1.0136301666816325,1.0090873737397208,1.223194527238806,1.0030648533082065,0.9325370931797407,1.180497974260114,0.9864898687247227,1.1631710141356397,1.305358435160189,1.0492724026599116,1.333931370254627,1.373338814241622,1.4459870268937254,1.474890140780166,1.474889182197253,1.4749292564784047,1.4749167639271943,1.3227361927022099,1.1081899263521424,1.6877774194664632
Beijing PM2.5 DataPRSA_data_2010.1.1-2014.12.31.csv_task_R_target_5,0.8421570591938832,0.7351320591703694,0.7945191595456083,0.8491296724208949,1.0,0.8009476952166192,0.8717030748276227,1.0453851915489958,0.9780317724690389,0.7360849842749613,0.9584076567038944,0.9430771621842237,0.9637850875557061,1.2008054195401354,0.9939303730083813,0.7624632135870659,1.1963425711363054,0.8023749375423186,0.8441035322672537,1.4663911433597019,1.1267098305502505,1.4207400468034561,1.3269337310494158,1.6415470541840609,1.6454982393459805,1.6455228713827785,1.6455792466439008,1.6455170593882837,1.1455272997287447,0.9871808073111505,2.119761237195773
Communities and Crimecommunities.data_task_R_target_-1,1.0103511630126811,1.0122963617217813,1.0151602049221968,1.0026643883187503,1.0,1.010176061288852,0.997752120367176,1.0170485625522658,1.0153519251973084,1.0064785692957925,1.0094929329041669,0.9990166839130616,1.0340775974731926,1.02575087813769,1.080177517911218,1.00602185139352,0.9991479909035459,1.0200669987277184,1.0355689068425078,1.0146309294661666,1.01233387232678,1.0280826046229923,1.017741523401746,1.0138274840148986,0.9994572066276423,0.9998613501290606,0.9952797150105811,0.9963360682574877,1.438894644028366,1.0256945115758067,1.7652054031522855
Computer Hardwaremachine.data_task_R_target_-1,0.27678080926262555,0.2890949585790661,0.31725410687321964,0.37994189135458856,1.0,0.5317316797778641,0.4270748863965609,0.29333527692067524,0.3724351753300059,0.5713065971868199,0.30033688406855386,0.47870435766516384,0.6270555388417214,0.38490575013400063,1.2411935497793032,0.8502914378694528,0.6222942845618227,1.178192191621251,0.9721849566232947,1.0427720112113945,1.429738206399934,1.1921911999936454,1.9054047896369604,1.3438614106917388,1.8827203670198074,1.8825509333949575,1.864337065812857,1.8535722295131567,1.5457213183682228,3.8623217890736696,8.123041528989212
Concrete Slump Testslump_test.data_task_R_target_-1,0.24630463075960626,0.33683821332225083,0.24345101905491454,0.3416876615255068,1.0,0.4401154168666708,0.3457207919458748,0.2952885933311705,0.3435082774499113,0.47637360191850464,0.2542035027426198,0.37910613971085516,0.45814941825184086,0.3458104358161913,1.0965552450785838,0.8119406451355159,0.3924145630255406,1.1665220497021398,0.5657072447419701,0.982624888029686,1.1025806258653907,0.9807261964350339,0.963435326011553,0.5767344810094082,0.7459155850097381,0.7494971012424733,0.7349920468245719,0.731411300708689,1.4395846040817935,1.4247747561758317,2.4560297581766917
Concrete Slump Testslump_test.data_task_R_target_-2,0.8197901593303796,0.9798633177079671,0.8381681705992184,0.9031458986113412,1.0,0.948420509698028,0.875219391068223,0.8248649280398096,0.9058132417984037,0.9695846314200075,0.8046707519968226,0.8705812084759857,0.9655087786944382,0.8440237946932696,0.9715013596830795,0.8665789781098452,0.868977415457523,0.8963168924033227,0.9761686561959235,0.9100302280276121,1.072271854545014,0.9676215488555366,1.0511818330270093,0.8565931723730664,0.8575042613231453,0.868059397813919,0.8452405241451839,0.830151074277088,1.1605909575370883,1.5418813660363064,2.7889806688713175
Concrete Slump Testslump_test.data_task_R_target_-3,0.88621000692315,1.0725004635448858,1.0237897701959011,1.0756665536885293,1.0,1.0359868467391258,1.0282229761518953,0.9790498192448606,1.044811368695894,1.0565658557187607,0.9523992552796672,1.0728934605965157,1.1128659620458783,0.9639740568587236,0.924571291140366,0.8693938816373199,1.0511098104573855,0.9208602062891934,1.151221063976598,0.9589556563677123,1.2923706690471561,0.9994085703937954,1.2386446642136126,0.9265902163506106,0.9273932789966046,0.9247965027151949,0.9291912535576907,0.9025493848152826,1.1815386954267224,1.5447320255441463,2.7032370978559137
Electrical Grid Stability Simulated Data Data_for_UCI_named.csv_task_R_target_-2,0.9854364882873272,0.9311779353112714,0.8822687103806939,0.990697832325566,1.0,0.9795417222673486,1.0192071516817929,0.9997452417486203,0.975665912164693,0.9559801759493276,1.0489915589475323,1.019732723775411,0.9837991346776741,1.2034695872415275,1.3151488629639867,1.632887834068073,1.439658986817271,1.6670294465382205,0.9090072637831433,1.7141152864563747,1.3210830625702603,1.5461679803567374,1.0419807514669261,2.167897944697838,2.515295337815778,2.5152449429679784,2.5154770833913886,2.515091343272711,2.641636784070959,0.8993007563946259,5.866062608469152
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,1.2935222281972851,1.1680019775132844,1.3023108143682471,1.3098463051276454,1.0,1.2096117961189494,1.3610059729295219,1.3115399104524996,1.3766571542046948,1.1737856546420176,1.3730101155714662,1.4017735272715206,1.3010931453940862,1.3592400818804005,1.3674969188515413,1.2832499298851772,1.4942204733268396,1.8600347051888513,1.4489105846280057,1.7239848833504698,1.6202941401683209,1.7305142916382898,1.7342656574653035,2.1450709014347877,2.62556351208517,2.6261506581994594,2.6264747585750454,2.6226184918406092,2.1328127724959387,2.154213963115333,5.856723307126702
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_7,1.2885056508236434,1.3227022524607652,1.4458144823164993,1.2420980569503721,1.0,1.1968460106514178,1.2519344350502992,1.2446088248125984,1.2720607639326569,1.1902931448079164,1.427231033172797,1.2373078636580819,1.2260492296134127,1.3573968568447818,1.1050826491053733,1.1967701368995616,1.252734648972934,1.3746540073063362,1.236530007739674,1.266490978325579,1.163142052133773,1.3061656444727736,1.2292600568821572,2.520789023439809,2.49297533785195,2.4960165435329964,2.540221909778376,2.436550883279923,1.6976906321402097,3.010036294648534,11.449576505978666
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_8,1.0388122460001328,1.1376179199816456,1.0585797545388367,1.0919057584031622,1.0,1.1164161575452343,1.0792970368827597,1.0757610668742796,1.075272324870521,1.104016902465058,1.0401359877570726,1.1094127519936055,1.1355135819734472,1.0111137812134896,1.2437312239492424,1.1978569291165893,1.091449065209426,1.350375672550685,1.0973406691244345,1.1829074754420392,1.2000797240940062,1.1882312707322107,1.0943437234584124,1.4653255664753058,1.4963702763017697,1.488405551983192,1.4957365848654474,1.483688946495826,1.7495668269886953,1.4175177002519859,4.2889833900401335
Physicochemical Properties of Protein Tertiary StructureCASP.csv_task_R_target_6,1.1234449887882965,0.941765464909302,0.9895659391448843,0.9743645958840265,1.0,1.014373117135515,1.016242734857823,1.1322360218382763,1.1723626231468534,1.039939500889996,1.2927326107700732,1.1210906785489896,1.1471095858764175,1.257294847572949,1.0236525112750643,0.9049573605153126,1.360371685956077,0.9451201367337794,2.4101942384560204,1.2611105810341143,1.09209127012769,1.3536223994333687,1.1653727353628762,1.3828568011072488,1.4169006752966453,1.415304609546414,1.39539973716357,1.3953925913219245,1.3357387385260144,1.0902264984927068,7.122415387308824
QSAR Bioconcentration classes datasetGrisoni_et_al_2016_EnvInt88.csv_task_R_target_-1,1.1205308593485812,1.1357339008359884,1.1094629435906511,1.1169112965899888,1.0,1.1333852887265348,1.1155321747739868,1.1185833727446404,1.1216103530581178,1.1116511777742504,1.1190638874155134,1.1223818963778205,1.1387201867755699,1.1381655003789855,1.115679166232076,1.0681708869409035,1.1160960225698786,1.0672838964956899,1.1402008088908653,1.0420391708736974,1.0509569068441547,1.0295933275493636,1.1159771646112056,1.0858168850690828,1.1405047363807248,1.1407913650891894,1.1425541384959303,1.223532374629447,1.469639584593277,1.2134067990697344,2.389351561184185
QSAR aquatic toxicityqsar_aquatic_toxicity.csv_task_R_target_-1,1.0775619328799642,1.103134349992398,1.1406133338875784,1.1382078188590816,1.0,1.0892335502716863,1.1716538608470373,1.0727735598799475,1.1165339850387552,1.0869592368560739,1.0852526497406303,1.1583569614584508,1.0892280593137986,1.0664264151047935,1.1064566231024038,1.0251556714489598,1.0981170493321095,1.051992732253553,1.0735053074568621,1.0552189490828554,1.0504844835508722,1.0358323936676095,1.055915266685433,1.1593204243756143,1.0996028346374704,1.0945035999465842,1.1183375673627127,1.211230188642887,1.3979973761466986,1.094065507460449,1.4800789083705443
QSAR fish toxicityqsar_fish_toxicity.csv_task_R_target_-1,1.0570253904253062,1.1022891275284947,1.1040625107789301,1.0984943524694242,1.0,1.0844986642639243,1.0775377920250384,1.0756113516812067,1.0982313765915026,1.2976930712352481,1.0732289905865104,1.1022764360807926,1.076364658819177,1.0737642101660814,1.1041568906308101,1.0604215152737024,1.080797552041693,1.0394863014714733,1.0748015848328687,1.0486494245571842,1.0438120294761222,1.0321063394822592,1.033797223617302,1.0776979863139395,1.1085816891618874,1.1083808229110341,1.1137626822199806,1.1170621812862684,1.4140227857239374,1.0951694876360736,1.697927617496746
Seoul Bike Sharing DemandSeoulBikeData.csv_task_R_target_1,1.0632959847671686,1.0526970745036206,1.0861686355171876,1.0963129931968052,1.0,1.0603364100435926,1.0868202597002627,1.1483774316979172,1.1257155182118987,1.0652441316228252,1.1626281470948476,1.111192796984012,1.1083308581847866,1.407620497687485,1.040779204342861,1.0189106435930677,1.5142815243198464,1.0541186362071127,1.0499338317647302,1.149979770755982,1.0285775938921113,1.1722008410629177,1.4208831629494152,1.8546127677148925,1.8803629998090503,1.8802279295300388,1.8817047576997639,1.8814083720620025,1.45345135379766,1.1198247370087677,3.6256557016436246
Servoservo.data_task_R_target_-1,1.098367468967107,1.1127210397023934,1.144406287233655,1.0933092203236454,1.0,1.1391701993387477,1.1322591875592245,1.1608918929103176,1.096888556563986,1.150960149142723,1.1114975652050725,1.157961721344401,1.1588314903467527,1.0946778299386886,1.0084710105978032,1.2797130882248255,1.1231232758157788,1.033303185162269,1.1091261818800127,1.0221445724509481,1.2417596057311733,1.0834105092633919,1.142728523192258,1.2608703252427258,1.2704320602248058,1.2713078021846338,1.2670566481100622,1.2587994737745283,1.3233741749367485,1.510799136333161,3.3228528648716065
Yacht Hydrodynamicsyacht_hydrodynamics.data_task_R_target_-1,1.017255027582515,0.9924686041572125,0.9218402104026934,0.9852121312074651,1.0,0.9808759549137068,1.0066162868540331,1.0267534710612456,1.0028795587904165,1.1444455536521305,1.177731599191673,1.0050615260372981,1.085491097167963,1.2919492859648327,1.039707548987256,1.3829483683594739,1.26783990535328,1.3885682395436136,1.5484289384364645,1.061612758603117,1.6233617156885007,1.2142774226832247,2.247213900471911,1.6868542590744802,1.6220984305633153,1.628194167042555,1.6526343484442445,1.642293143584098,1.487160927126845,3.7174495699364427,9.463255361228097
arashnic_marketing-seris-customer-lifetime-valuesquark_automotive_CLV_training_data.csv_task_R_target_2,0.9317072490367208,0.9463347408546339,0.9431930951556783,0.9582237333793564,1.0,0.9630043504614859,0.9468658851625819,0.9431482019400464,0.9593321637367375,0.9526638574432857,0.9356574193879389,0.9484634663524897,0.9451846027121847,0.9316081969988488,1.111826513091745,1.0638463116773704,0.9445796059447161,0.9947206160131753,0.961976792408052,0.9230586523390698,0.9934583592770073,0.9421062303637437,0.9535495099395229,1.1344927012488817,1.1255578675369449,1.1254969399910677,1.1253371978073623,1.1245931675685512,1.3166417812716433,0.9497165474786881,2.3839272536695337
harlfoxem_housesalespredictionkc_house_data.csv_task_R_target_2,0.9954509011389673,0.9949661904534723,0.9974911632717671,0.9970118512966701,1.0,0.99632350034337,0.9949788148390363,0.9965410164924158,0.9959230291292143,0.9965144509459132,0.9974911281538963,0.9947380110125945,0.9971994285086151,0.9997480771894857,1.0022660914486097,1.0018517081446088,1.0002610123409332,0.9995612725886825,0.9968133328587537,0.9947115770795827,0.9952825454745614,0.9933210074382066,0.9989068951059773,1.1058660896178578,1.1219448582344913,1.1217332364439785,1.1216826345031736,1.121618635145879,1.0021872916343058,0.9979961243041486,1.4662591619759007
how-much-did-it-rain-iitrain_task_R_target_-1,1.0275299965206808,1.047976735015746,1.0315201527820403,1.037939950748742,1.0,1.02775829284178,1.0273870108499001,1.0303149516203194,1.0351897554752931,1.037344835574273,1.0322352616768804,1.03301949092331,1.0366768821193781,1.0523362031199508,1.060021137207645,1.2971513671923256,1.0257002476183954,1.0619270555139746,1.025145355922781,0.976505560138024,0.9998678155177153,0.9796762777557724,1.0575406088693606,0.9922872607335058,0.990455321754068,0.9897377999756192,1.018822854827088,1.1089449618171012,1.3506122523320536,1.0281095697023592,1.5859782479358908
mercedes-benz-greener-manufacturingtrain.csv_task_R_target_1,1.0197252528883418,1.0756131637315571,1.046398297581106,1.0752188360517159,1.0,1.0874087597066542,1.0586960148830766,1.040489190747895,1.0646853738701416,1.0950238938638777,1.0243262658073544,1.0690847627573477,1.1291796778256977,1.022398330170524,1.0508067707187068,1.0108259141692852,1.058513937633115,0.9709517255463535,1.0720127754325477,1.0045024769043593,0.9891309434220545,1.0175742446038776,1.1491759486821724,1.0371840585431191,1.0344078511648762,1.034413173420116,1.035378062374304,1.0350145329859415,1.3476945214474902,1.0783742421216107,3.226910672174995
mirichoi0218_insuranceinsurance.csv_task_R_target_-1,0.999852433005979,1.013475858003311,1.0767373301426502,0.9917612763146837,1.0,1.0270090440680202,1.0269485827658502,1.02106092492948,0.9893427928782603,1.0463337416760863,1.0245838542053636,1.0023418239326567,1.0018937193697608,1.0091363613973767,1.1212970273032383,1.320731956049937,1.0248493924192772,1.0106375172296196,1.0054768888732943,1.1092167891484703,1.0355807338365568,0.9934485870671393,0.9647599761359661,1.1455801947222568,1.0328083696031256,1.0392947312632645,1.3538248636041155,2.125250701545262,1.4640570480518855,1.0088015909213899,1.0351637688007274
wiki4HEwiki4HE.csv_task_R_target_-10,1.2135791840046213,1.1740746815599137,1.1649364271183296,1.1536665449066628,1.0,1.1577230204814213,1.1626008555095464,1.2207425714042688,1.189049154019361,1.1674088736713863,1.2201834879134175,1.1760239359293039,1.1635205931409494,1.237796796370723,1.099938854820754,1.2749325550373505,1.1761219687422064,1.0239122006416097,1.170255373252997,1.0238019833247056,1.0447491759925245,1.034964725691229,1.2274186510913323,1.0485715953897392,0.9816959597304413,0.9817457436788514,1.210859977464335,1.3195346473655634,1.3865872741524208,1.1651954046706121,2.08295466359532
wiki4HEwiki4HE.csv_task_R_target_-11,1.1726667664601014,1.136937094016306,1.1166408014985323,1.111087369094026,1.0,1.1093269252683722,1.1324907775479602,1.180202529007747,1.1236963296776747,1.1011092283597328,1.182862781816172,1.160516739273589,1.1283057155283145,1.1741639850270424,1.0419276090398593,1.2343129414073184,1.152339270123806,1.0067516470201379,1.1102439362524712,0.9898261740163928,1.0395534709988359,1.0384401322198857,1.1586573470562596,1.0607475323514008,0.993084861704039,0.9932312325960471,1.1903884792639101,1.253930807439405,1.3573767625653028,1.142110139047911,1.9188150883587363
