dataset_name,adacapnetselu_bagging,adacapnetglu_bagging,regularnetselu_bagging,regularnetglu_bagging,adacapnetselu,regularnetfast_bagging,adacapnetglu,regularnetselu,CAT,regularnetglu,CAT_bagging,xgb_sklearn_bagging,regularnetfast,xgb_sklearn,XRF_bagging,XGBoost_bagging,XRF,adacapnetfast_bagging,XGBoost,adacapnetfast,MARS_bagging,LGBM,LGBM_bagging,MARS,Enet,Lasso,Lasso_bagging,Enet_bagging,Ridge,Kernel_bagging,Ridge_bagging,Kernel
Abaloneabalone.data_task_R_target_-1,0.6344831053109776,0.6313670246160021,0.6331455261926449,0.6364736028247854,0.6510502051228764,0.639026878817242,0.6579955678893427,0.6541782659623143,0.6794281376677244,0.6572379666415344,0.65545760980611,0.6625822225053435,0.658695873201833,0.6793792513579805,0.6643823989321617,0.6819629082292011,0.6864501802756096,0.6522244320464614,0.7101958838161828,0.677377270211046,0.6623951685781713,0.6862776096422076,0.6711350536389301,0.6732908086452951,0.6923783701928096,0.6924592079804175,0.6788460976121731,0.678627652200657,0.6925498240198198,0.6787677908211764,0.6787989480421882,0.6920352179835784
Computer Hardwaremachine.data_task_R_target_-1,0.025581568979958315,0.02097761992775655,0.026771930664485837,0.027291352354803018,0.03514612764528856,0.04468079269331271,0.03956648132870192,0.03733183512884249,0.1376325064524134,0.037094046675419254,0.10342864974607094,0.12969385816485077,0.07580080599446296,0.13389809676820344,0.08767713754308677,0.17182011949097623,0.11428321442485309,0.13164590663599213,0.16282779435743935,0.11377314868765012,0.16428873539301525,0.17963877834771214,0.1600066371804157,0.16981786674306062,0.2344732901383495,0.23459877044863195,0.2337398461227979,0.23368302675454036,0.2315164651109333,0.23376044041016,0.2337631846584512,0.23018840706258836
Concrete Slump Testslump_test.data_task_R_target_-1,0.10555824173970133,0.07275741119641102,0.1225367523953559,0.11009831813180884,0.10312233617034841,0.18438996530257928,0.10296117894257159,0.12329458884216533,0.4294820506333933,0.1417978871963652,0.3738594345049841,0.34572710050261407,0.19364112249621016,0.41989350823414595,0.36316962414499687,0.31421703321535394,0.3442100179145351,0.2470184719300918,0.47243506939348795,0.2086777133400033,0.2501486942263343,0.4710869168105405,0.41101852420762147,0.24365644723313773,0.3129162121841193,0.31444075127271476,0.3778403167606079,0.3806342346191311,0.3084115636444503,0.36552686461862416,0.365694833295925,0.30695073648010124
Concrete Slump Testslump_test.data_task_R_target_-2,0.2742147371185538,0.27387450723677326,0.26872304185711426,0.27324706998703957,0.30787071457889426,0.2735848875696218,0.3139729147005513,0.3097405864166087,0.3769511637466761,0.3694334634181825,0.34001739976833356,0.3339884361110628,0.365165951518866,0.34372049101304014,0.30079702789787405,0.33956792365482386,0.3281286516483606,0.284000036449423,0.36823232798843397,0.36547069172620417,0.27962373879840285,0.4022958137887426,0.4560295647580235,0.3188367482399857,0.32289483341280156,0.32674276699854676,0.2854915362733862,0.2815203830439317,0.3180093438945482,0.2780882760668872,0.2837594860965998,0.3127098363456213
Concrete Slump Testslump_test.data_task_R_target_-3,0.38944824360914054,0.4375455596515336,0.4079358747061095,0.4842956152442957,0.35923011239419084,0.4950300659817769,0.4078841464663455,0.39923685519368546,0.40504473940771213,0.4273316394163175,0.5286704692284214,0.3793259077702514,0.4372933202942968,0.38980151145131486,0.44162163726763504,0.3579740243154873,0.3579712304877596,0.5150849475042732,0.37746851413648225,0.44767060538671777,0.30982987880304436,0.5048431167147768,0.59840394072198,0.37325802155088594,0.3643989221864305,0.3633131465254744,0.3935195594981812,0.396561500968538,0.364308526655941,0.36140576461615587,0.38968168770497463,0.35483139678002074
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,0.13733670322021144,0.14936994319410643,0.133114465805312,0.15066349337340618,0.24359300461965713,0.15448881599061465,0.24334070628663768,0.2459423769625882,0.19641302718679193,0.22370550806342018,0.10527989986113481,0.17341003815008574,0.2438914195265654,0.3294224297935694,0.14717079412674267,0.16986963446747277,0.2513413775271883,0.21085611428152598,0.2691471241644624,0.3126034010639508,0.2740357334989721,0.3144085178205879,0.15930790096283873,0.3909395226632671,0.4643471954960806,0.46440959257668135,0.38297331919509886,0.3819427587184528,0.46436705060130584,0.3838218233718274,0.3798309060247158,0.46340041178021674
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_7,0.14795408531070312,0.13973470909500255,0.13833827297615015,0.132913566505318,0.11395991452115913,0.12309548540358572,0.12817884846556074,0.10928765366840307,0.08937269881557815,0.11683113268169443,0.10849229032795077,0.12624007427137543,0.10840485553793053,0.11258485313279058,0.12065132938934474,0.1254691050061155,0.10618017557537948,0.1747823926755197,0.09864668929438276,0.15843351802713956,0.23854063216344426,0.10384632102343772,0.12921089458439017,0.22058783332595092,0.21725316154309926,0.21752115847022663,0.19916024527248755,0.19751069439084767,0.22142950737755268,0.19222921322771724,0.19790789255111174,0.21244390144870717
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_8,0.1891126018189078,0.2084505589724677,0.20487695855395543,0.21016955976168658,0.24672767013206381,0.22136749632517694,0.2509678670656962,0.25488007929927753,0.23876999775263802,0.269972311189424,0.215053073636848,0.27661134776520685,0.26886308207657017,0.28209307635501935,0.2620018181006768,0.2809988033459887,0.2867260924247449,0.25034486190829564,0.29851361917489677,0.30786377240450225,0.3422203676363493,0.288588599269987,0.2670790598485216,0.3438566039435708,0.35402542856735736,0.3519120866758754,0.3189095904701505,0.32025779360393514,0.35366989697753,0.32003464522871494,0.3207235316478469,0.35061316924977676
QSAR Bioconcentration classes datasetGrisoni_et_al_2016_EnvInt88.csv_task_R_target_-1,0.4384465105349307,0.4506478971156523,0.4333223090204879,0.4313355667334168,0.4737722188236095,0.4338284813911537,0.46889537178973956,0.4727847713530968,0.4233382825844383,0.4794210543623622,0.377388810154373,0.4086573683106789,0.48116080833541314,0.44013054810614866,0.42374574863097875,0.46798431002449037,0.45151634882453245,0.4618142035110981,0.4708889213781484,0.49716344643322613,0.4284081606613572,0.444897042928185,0.39894710222603286,0.45874059977623033,0.4818340991971043,0.4819761043550977,0.4626115270723058,0.46308018601553963,0.48266719725288587,0.4692759844013779,0.4707994202383227,0.5160258737865213
QSAR aquatic toxicityqsar_aquatic_toxicity.csv_task_R_target_-1,0.7314211232027876,0.7578397940635463,0.7335146259851916,0.7747648856021818,0.7356266758034289,0.752709424053906,0.7780605418236728,0.7322763560215696,0.684959556566137,0.7519629368805913,0.7497036343651545,0.7680363456608443,0.7429864769672746,0.7198378352142109,0.732269000998284,0.8199547951228694,0.7015447448797634,0.7571929190747271,0.7550285434598931,0.7943752387374179,0.7910561721193821,0.7173982723825867,0.7819913390455804,0.7914213901170608,0.7467499709331131,0.7432306755054527,0.7701466644887126,0.7756802204950961,0.7594592419581109,0.7910111407246463,0.7902114405107793,0.820637805833057
Seoul Bike Sharing DemandSeoulBikeData.csv_task_R_target_1,0.29345811580690107,0.2947683290873896,0.3255092764941162,0.2890696358884384,0.29372286853336166,0.30295781287900264,0.29995867322490055,0.3172105322979314,0.27626754165905437,0.29073608853165267,0.2840855085023582,0.3247681225887615,0.30618402795491584,0.3175819210761511,0.2863442348610351,0.29735832942766005,0.2813722157544014,0.33957663966899854,0.2874961508468103,0.34657031654626685,0.5156450258047954,0.28410249517713254,0.29285793765288287,0.5120464746689957,0.5191537353991433,0.5191150858901926,0.5177248473964804,0.5176908276354275,0.5195210970245603,0.5180376010463069,0.5182416457376381,0.5194362292281278
Servoservo.data_task_R_target_-1,0.351357951889594,0.3351675379896258,0.34063077133979497,0.34017911038252796,0.3449415593071816,0.355594702512077,0.36143283726354947,0.3628035545640701,0.32082604807773596,0.3468437041466973,0.37650956703116867,0.38315242416857365,0.36111056588220414,0.32792529101620094,0.3937052485044955,0.36628460231177884,0.4017127169390477,0.40173607882452644,0.32634709201512435,0.39793152487824957,0.4401293407720388,0.39069265449967533,0.3993722067000459,0.3916540545223131,0.39682713235447453,0.3970081150095776,0.44664949210925764,0.44654559361808527,0.3957464210762599,0.4454359174388358,0.44549618640412525,0.39351504349900573
Yacht Hydrodynamicsyacht_hydrodynamics.data_task_R_target_-1,0.1509821510387779,0.14158399135586325,0.15528262744357502,0.1523216047899017,0.12107230680992662,0.1535644002102038,0.1095228090535415,0.12105071318712898,0.12557103494475358,0.11787030120883894,0.150338122710961,0.15366623354261538,0.12818769935196753,0.12761478732115822,0.17806749229366273,0.14615823142589024,0.15977735170144905,0.2065951342676307,0.12635750595370268,0.16173891093675963,0.22587013621489235,0.1888454641041915,0.22410402545098204,0.1946307372625648,0.18893760370176008,0.18932877984924834,0.22562251010125312,0.2261047019840668,0.19035828380798575,0.22557374514447456,0.22588438690984639,0.18958071888983544
wiki4HEwiki4HE.csv_task_R_target_-10,0.5599324538722087,0.5319423028002427,0.5818293852561727,0.5331848640081847,0.5856565042585933,0.5447472358467288,0.5616467940857145,0.5888859066223195,0.4828846981217724,0.5663773873376425,0.5059394096281861,0.512528343534746,0.5610412873572359,0.4943341915088572,0.6617725591168011,0.5911646275036727,0.6158231111223178,0.542266432439089,0.5308877228253948,0.5849531242080345,0.5236940430208263,0.5045681662144607,0.5261074492319496,0.5062724467343704,0.4740921867567878,0.47419024644467783,0.4957062493999569,0.496804605872686,0.5842251884792822,0.6411815547479391,0.6251592862182755,0.6363924670441816
wiki4HEwiki4HE.csv_task_R_target_-11,0.5549396807123996,0.5500638275901857,0.5555261244466668,0.5582228163649501,0.6142139209015828,0.5601842418246875,0.5841627256433847,0.6175221932272802,0.523309946432178,0.5944370046565475,0.541376167769646,0.5393148358435749,0.5897309192141267,0.5177910339699305,0.6358923647947492,0.5784174647135344,0.6457834088693357,0.5663577344170384,0.5455349537428081,0.6259127013917009,0.5689011486012449,0.5439685204498474,0.5774763528550195,0.5545954031248072,0.5195437615225048,0.519620388793433,0.5411042034231993,0.5403445929091122,0.6223786721699525,0.6193522109095566,0.6111367065089544,0.6559271754573632
