dataset_name,adacapnetglu_bagging,adacapnetselu_bagging,adacapnetselu,regularnetselu_bagging,regularnetglu_bagging,adacapnetglu,regularnetselu,regularnetglu,regularnetfast_bagging,regularnetfast,XRF,CAT,CAT_bagging,xgb_sklearn,XRF_bagging,adacapnetfast,XGBoost,xgb_sklearn_bagging,adacapnetfast_bagging,MARS,XGBoost_bagging,LGBM,MARS_bagging,LGBM_bagging,Enet,Lasso,Ridge,Kernel,Lasso_bagging,Enet_bagging,Kernel_bagging,Ridge_bagging
Abaloneabalone.data_task_R_target_-1,1.0,1.0049354504962793,1.0051606537728408,1.0028169060266086,1.008088129423435,1.0159570144178542,1.0099308392533648,1.0144871850418906,1.01213217336762,1.016920867547256,1.0597434562290409,1.0489352406534156,1.0381562296585884,1.0489603317277296,1.0522918889155473,1.0466476658835202,1.0962579088607052,1.0494406528569122,1.0330353132445345,1.0395642778343162,1.0801370385853957,1.059708801327999,1.0491443847277904,1.062987180946162,1.069074034762175,1.0691893198480922,1.0693142210870532,1.0685255062944488,1.0752004319912776,1.0748544439953904,1.0750764046221823,1.0751257534475043
Computer Hardwaremachine.data_task_R_target_-1,1.0,1.2194695617547178,1.1715348963433319,1.2762139249678435,1.3009746791480594,1.2749192851730247,1.2497902369557126,1.2386575498104642,2.1299266955539267,2.512635244918827,3.733930264763105,4.567027815187912,4.93042824220584,4.459336989144328,4.1795560146972015,4.556313439138874,5.368024853982367,6.182486793616003,6.275540651864169,5.721572328643495,8.190639361505083,6.049148526921683,7.831619409580231,7.627492429143633,7.937163414145912,7.94037165933697,7.857325715423487,7.8121447395603285,11.142343455919177,11.139634885144549,11.143325182513186,11.143456000418203
Concrete Slump Testslump_test.data_task_R_target_-1,1.0,1.450824596476411,1.1313373240177083,1.684182413590334,1.513224787982008,1.122041590739419,1.3438980697523415,1.5410336364163286,2.534311794090811,2.1334837321927678,3.8457529439349685,4.884624713057924,5.138437835504321,4.7163288754736,4.991513828943261,2.432417147404319,5.341600841904378,4.751778476137811,3.3950970474094704,2.665840477108832,4.3186945226392774,5.3081688128793925,3.438119775194443,5.649163672111195,3.4427558010310086,3.456442241011994,3.3851539130763593,3.3700871145418887,5.193152292631957,5.231552749885458,5.0239124593352065,5.026221071949905
Concrete Slump Testslump_test.data_task_R_target_-2,1.1236362151353427,1.1250320902771986,1.1011876636911977,1.1025010860574231,1.121062002501831,1.1323170340554078,1.1111820642733186,1.3289133930125208,1.1224479806044614,1.2965553512194408,1.1637718615363501,1.3634817751635682,1.395003383157351,1.2340392655594687,1.2340923489418723,1.3416503329985567,1.3166417082665576,1.3702681057728532,1.1651786406627687,1.1515032129263125,1.3931592990033586,1.471330167342893,1.1472238241356254,1.8709712682076218,1.1614713361494047,1.1755246331333806,1.1451219514368707,1.123269779813913,1.1712978783894992,1.1550052645588549,1.140924217978306,1.1641917248277651
Concrete Slump Testslump_test.data_task_R_target_-3,1.4122122803064994,1.2569744568008845,1.2089805028592837,1.3166447222006954,1.5631017160619212,1.4279743812365766,1.351629747509588,1.502394239733305,1.5977479896200146,1.5648235905066656,1.1823930235465385,1.3932980341588588,1.706325004130708,1.2944410523801424,1.4253681374234708,1.5921691023076794,1.250459108837227,1.2243038316242731,1.6624766775050364,1.2570409743394357,1.1553889692576993,1.79612750775834,1.0,1.9313951999522265,1.280235507472699,1.27692178264913,1.2832874715816942,1.2416833466328205,1.270114945073898,1.2799330474535286,1.1664651776399453,1.257727915753055
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,1.4187888038564513,1.3044912029870834,1.3296055433746377,1.264386326173289,1.4310755763648404,1.3344038797570743,1.3459253602230294,1.2001491714516164,1.4674103622285628,1.3335355255797037,1.3188408674678673,1.0378342305128914,1.0,1.778174206847068,1.3979002100197886,1.9405306018754058,1.4215073112089593,1.6471333880333778,2.0028145406639557,2.207342920350623,1.6135049016149563,1.6766836880154894,2.6029254763770466,1.513184389166093,2.703305108224225,2.7038569061100395,2.704253416943473,2.6997524862328297,3.6376679660623186,3.6278791984247603,3.6457274738871526,3.6078197882569834
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_7,1.2879690222467617,1.3637290250161291,1.3502165165798878,1.2750977286771332,1.225096881110598,1.5234014021891302,1.2952286383127714,1.3935899640357758,1.1346012240270011,1.291770840122914,1.2587159982262028,1.0549773142695396,1.0,1.3346850052224335,1.112072839688789,1.7526971483433518,1.1635176467829191,1.1635856694496596,1.6110121018478551,2.623823950260529,1.15647945699042,1.2244473234515625,2.1986874038918622,1.1909684475625977,2.6021654355292,2.6035544075488133,2.652693625054318,2.5411217984075725,1.8357087371873657,1.8205044228839842,1.7718237180415888,1.8241654955654016
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_8,1.1022563116765625,1.0,1.080873508681663,1.0833596311584959,1.1113461384394823,1.1004366723544916,1.1175103688720118,1.1834362262727844,1.1705592022744,1.1821075138376815,1.2485709116185766,1.0426114064210816,1.1371694512604746,1.2344627928164396,1.385427600174244,1.3914479111895874,1.2982701580691363,1.462680673338136,1.323787307141082,1.5234864024806225,1.4858809018717334,1.2526990849473192,1.8096116511794167,1.4122753178779364,1.556372683362719,1.547926286252302,1.5556672192206764,1.5430013852799351,1.6863476436939666,1.693476746254121,1.6922967700226381,1.6959395014562189
QSAR Bioconcentration classes datasetGrisoni_et_al_2016_EnvInt88.csv_task_R_target_-1,1.1941209834263826,1.1617899066895538,1.1248272792450413,1.1482118636300715,1.1429474195511429,1.1137842963927258,1.122937391811888,1.1401485615614244,1.1495531126471232,1.1430861979653755,1.072294976230564,1.0038046372511187,1.0,1.0459315492166001,1.122836017468677,1.1878319247492553,1.1199903359213461,1.082855021969293,1.2237093180430825,1.089943562226494,1.2400587866743022,1.0549182759126197,1.135190416711387,1.0571248841820227,1.1449197599464056,1.1452029111594193,1.1469834636226255,1.2284916296525457,1.2258220557283401,1.2270639021493883,1.243481448772734,1.2475182293977918
QSAR aquatic toxicityqsar_aquatic_toxicity.csv_task_R_target_-1,1.0361196443781595,1.0,1.0935603360405168,1.0028622399818545,1.059259653603656,1.1577258538954776,1.088419509092362,1.119181606751045,1.0291053952036548,1.1054095783299172,1.0404119865567563,1.0151900565286178,1.0249958752658255,1.0708205674665043,1.001159219728005,1.187610906419922,1.1228422585270248,1.0500603842253338,1.0352352359733452,1.1754299016053216,1.121043362177463,1.0662394319279502,1.081533123702336,1.0691396710302172,1.1153092871198031,1.1101359971047775,1.1342787415426292,1.2285583765857653,1.0529456151284657,1.0605111007712005,1.0814715567154016,1.0803782054455269
Seoul Bike Sharing DemandSeoulBikeData.csv_task_R_target_1,1.0376042433186723,1.0329922048961715,1.0669274353815983,1.1458144352738575,1.0175444619204814,1.0898143641447304,1.1522712769102852,1.0561537457734063,1.0664317742785805,1.1121551063383162,1.0223489767137708,1.003460637463293,1.0,1.1539173184940483,1.007950867929112,1.2546163381378936,1.0443693882509841,1.1432055239314172,1.195332494991309,1.860905499729086,1.0467212178307634,1.0321254117155063,1.8151049961089973,1.0308795376320712,1.886726183394763,1.8865904306010872,1.8880787866316155,1.887781112450932,1.8224261072865768,1.8223063554511798,1.8235270210624162,1.8242452720299043
Servoservo.data_task_R_target_-1,1.0,1.048305435535554,1.215704867912534,1.016300007402084,1.0149524396752805,1.2635122091815822,1.2790714406763857,1.2299626247657482,1.0609461305381056,1.2821705872308076,1.38625209478387,1.0968359089378912,1.123347354250108,1.114848817529778,1.174652088522611,1.3839290454253228,1.0897921548846472,1.143166866537156,1.1986127333040264,1.3945272193606588,1.0928403284781003,1.367379817052206,1.3131621976638497,1.1915599258076341,1.4031046148507342,1.403819090505915,1.3988039712130476,1.3882715508661279,1.3326156070731483,1.3323056173533931,1.3289948069273436,1.32917462435731
Yacht Hydrodynamicsyacht_hydrodynamics.data_task_R_target_-1,1.0,1.066378688670338,1.2456459437938883,1.09675271869742,1.0758391773759937,1.1322029773485744,1.2408256981133134,1.2083758953245414,1.0846169735689148,1.3258977348997407,1.6978793681328122,1.2529715108802049,1.0618299517570087,1.3150645614211265,1.2576809750058557,1.5213862903545181,1.2858575085182575,1.0853362168353067,1.459170152565947,2.057617654007226,1.0323076078462141,1.9807548166715194,1.5953084388416534,1.5828344949515474,1.9795132958235555,1.9868457274968265,2.0121796090140203,2.0006530113558334,1.5935594691222108,1.5969651640612785,1.5932150448952092,1.5954090907219796
wiki4HEwiki4HE.csv_task_R_target_-10,1.0730998518661987,1.129565048957919,1.2417861758948094,1.1737382491353825,1.0756065001270307,1.192386075458415,1.2488595400718574,1.2014114506192553,1.0989315476779546,1.1904996594889612,1.3036252236319912,1.023040326749976,1.020643597373679,1.0472559175851166,1.335009514037526,1.2398391985748547,1.1252560868148258,1.0339356103643074,1.0939269639942857,1.0726969537096314,1.1925704552227583,1.0685281690514876,1.056460441349586,1.0613290630666707,1.004016679477591,1.0040007317776931,1.2388897078403072,1.3496276666990243,1.0,1.0022157406206975,1.2934707914699026,1.2611486883109082
wiki4HEwiki4HE.csv_task_R_target_-11,1.0218815728809585,1.0309396934257922,1.1973115769093057,1.0320291598031843,1.0370389416517805,1.139820393316438,1.2047095023002274,1.1603630721708464,1.0406827815724424,1.1515368046625842,1.2590554673395151,1.0207227399667596,1.005742064997008,1.0099153551050868,1.1813296154488753,1.2193330121624533,1.0632499628622554,1.001912623748214,1.0521515930157948,1.0823444196438086,1.0745555678742995,1.0608541852947964,1.0568766230153697,1.0728072164685194,1.013399078115983,1.0135355269216944,1.2148143463430612,1.279854267493973,1.0052368229865816,1.003825655867462,1.1506021296188376,1.1353397688930338
