dataset_name,adacapnetbatchstandard,regularnetbatchstandard,adacapnetbatchresblock,regularnetbatchresblock,CAT,adacapnetglu,adacapnetselu,Kernel,regularnetresblock,adacapnetstandard,adacapnetresblock,NuSVM,regularnetglu,adacapnetfastselu,regularnetselu,regularnetfastselu,adacapnetfast,regularnetstandard,RF,XRF,MARS,regularnetfast,xgb_sklearn,CATfast,XGBoost,Lasso,Enet,LGBM,CART,Ridge,Intercept
Abaloneabalone.data_task_R_target_-1,266.22245192527765,271.22908382415767,241.0235845088959,263.7629335880279,68.73786151409149,7.18890495300293,5.940118408203125,0.4371562719345093,5.614412188529968,5.3362655401229855,5.132685899734497,0.5858345985412597,4.7002705335617065,2.3577746152877808,3.4778924942016602,1.9273690223693847,1.7669813871383666,2.432653307914734,1.200484609603882,0.649670672416687,0.30142827033996583,1.0346721887588501,0.40093810558319093,0.8494003772735595,0.28935139179229735,0.07061936855316157,0.06897625923156733,0.09773037433624263,0.020172548294067328,0.0222547054290771,0.017221450805664017
Appliances energy predictionenergydata_complete.csv_task_R_target_2,254.44326493740087,272.7914592027664,257.47269082069397,285.1498193025589,312.34262816905976,33.56924836635589,30.474865889549257,22.583159613609315,31.151313424110413,28.704482674598694,29.683820915222167,26.64417459964752,11.357325291633606,8.02573528289795,8.542425656318665,4.168526697158813,6.56875786781311,6.463135170936584,25.176842880249023,4.729387521743774,22.652401328086853,2.347127890586853,6.2858452796936035,1.0776523113250733,2.7472528219223022,0.2818325042724609,0.28011465072631836,0.4640126943588257,0.42751810550689695,0.032935953140258746,0.017470455169677674
Beijing PM2.5 DataPRSA_data_2010.1.1-2014.12.31.csv_task_R_target_5,274.11034259796145,282.91093876361845,293.2608762979508,314.7094260692596,196.85297279357908,139.57733747959136,136.20451135635375,190.24825339317323,138.32213332653046,133.10021996498108,135.7078066110611,140.98600392341615,30.28329918384552,32.062337803840634,23.81837248802185,9.516929459571838,31.752886033058168,22.120909690856934,15.361836266517638,12.625068211555481,11.531877517700195,8.220154094696046,4.000961637496948,1.5691905260086059,3.408076047897339,0.9166806936264038,1.261074137687683,0.5541056156158447,0.23917615413665766,0.07456030845642085,0.016305923461914028
Communities and Crimecommunities.data_task_R_target_-1,260.9282977342606,265.5699873685837,259.35648143291473,272.64052500724796,306.9015298128128,6.100946998596191,5.1693294763565065,0.07387273311614986,4.314219236373901,4.0718570947647095,3.687238073348999,0.5995278596878052,4.921465873718262,2.421893310546875,3.7550734519958495,2.201706337928772,1.5381810188293457,2.2493258237838747,5.131162166595459,2.283588981628418,0.4414142370223999,0.8927326679229737,1.6814905643463134,0.9873410224914551,1.023732852935791,0.21790094375610347,0.19522128105163575,0.3371831655502319,0.08797259330749506,0.027846956253051714,0.016817522048950147
Computer Hardwaremachine.data_task_R_target_-1,264.8369106531143,238.03714232444764,266.47521185874933,270.5464874982834,15.249029612541198,5.121599435806274,3.647576117515564,0.00298988819122309,4.28065447807312,3.978291893005371,3.6631448745727537,0.00408725738525387,3.8003918886184693,1.3868113040924073,2.374468731880188,1.1102477788925171,1.6007349967956543,2.253539776802063,0.12113442420959468,0.08075640201568597,0.02164669036865229,0.9490299701690674,0.03452627658843991,0.698121976852417,0.03133611679077143,0.03426287174224849,0.03412885665893549,0.012662148475646928,0.00139575004577632,0.00256826877593988,0.016812753677368127
Concrete Slump Testslump_test.data_task_R_target_-1,238.07661154270176,255.164799284935,230.43375785350798,256.03553109169013,23.887273383140563,4.69057879447937,3.4217903852462768,0.00247933864593502,4.337127161026001,3.9933118343353273,3.6969414710998536,0.0018420696258544297,3.645583701133728,1.1541695833206176,2.276203227043152,1.0108870029449464,1.5431432008743287,2.2659271478652956,0.11325771808624263,0.07496302127838131,0.041357946395873965,0.9214018821716309,0.030450248718261692,0.6855356216430664,0.02623844146728511,0.04272782802581785,0.041101574897766044,0.00952880382537837,0.0013517856597899801,0.0033334732055663703,0.017245602607727
Concrete Slump Testslump_test.data_task_R_target_-2,237.78783655166626,251.69836287498478,237.83191540241245,251.0572863578797,24.33157181739807,4.449306988716126,3.290575933456421,0.005331897735595651,4.3645484209060665,3.9157804250717163,3.573720383644104,0.0017597675323485797,3.583168601989746,1.072504472732544,2.131794047355652,0.9624786376953125,1.5485719442367554,2.268505001068115,0.11234073638916009,0.07351865768432611,0.05465641021728511,0.9183998584747315,0.03056213855743404,0.6802848339080809,0.02771596908569331,0.03421049118041988,0.03347773551940914,0.009662938117980911,0.00135264396667477,0.00266716480255122,0.018058395385742144
Concrete Slump Testslump_test.data_task_R_target_-3,234.40387272834784,254.3276299476623,250.91786661148072,269.2756084918976,24.204724955558778,4.454114317893982,3.327353668212891,0.0028639793395995898,4.156516766548156,3.7502822160720823,3.423123860359192,0.0017164945602416697,3.6312665224075316,1.1290594816207886,2.210106039047241,1.0464799642562865,1.4946630716323852,2.131961798667908,0.11055343151092525,0.07384309768676753,0.034187698364257765,0.913380765914917,0.030498838424682567,0.6710741281509399,0.025225663185119575,0.0368463277816772,0.0355399370193481,0.00952327251434321,0.0013556718826293502,0.0038475275039672394,0.017098522186279254
Electrical Grid Stability Simulated Data Data_for_UCI_named.csv_task_R_target_-2,250.16594531536103,270.77597725391394,217.0078547000885,277.4074003696442,158.44901554584504,14.940987825393677,13.061005067825317,4.071378564834594,11.791299295425414,10.728514146804809,10.798106217384339,6.466839098930359,7.359744429588318,5.222129678726196,5.952973556518555,3.840934085845947,2.772857737541199,3.011492466926575,5.508770704269409,2.2301239013671874,0.8384119272232056,1.2736975431442261,2.489873242378235,0.8661141157150268,1.7706227779388428,0.06515288352966306,0.06466820240020749,0.26807475090026855,0.09314420223236082,0.021884679794311475,0.016635966300964315
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,256.5868656396866,246.78190953731533,246.61921443939204,268.35575172901156,47.8536171913147,5.048395800590515,3.884924364089966,0.00897006988525385,4.388339257240295,4.078634357452392,3.7079580307006834,0.0427427768707275,4.065702867507935,1.4910835027694702,2.782551980018616,1.418756079673767,1.6364291906356812,2.3461707830429077,0.24358618259429932,0.19789218902587888,0.4268465995788574,1.0265293359756469,0.08987541198730467,0.7652818918228149,0.1146647214889526,0.0605399370193481,0.06311182975769039,0.03606674671173092,0.00399343967437737,0.02175958156585689,0.017596960067748982
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_7,256.4960929632187,247.0914294719696,256.6996423482895,261.3668608427048,46.232979679107665,5.05417537689209,3.824100160598755,0.00884227752685543,4.2591088771820065,3.87924382686615,3.561532759666443,0.06861104965209959,3.9460729598999023,1.5498028993606567,2.7481658935546873,1.487562394142151,1.596040678024292,2.2908815145492554,0.2432423591613769,0.19254467487335206,0.04411458969116207,0.958493995666504,0.09024174213409422,0.7972423315048218,0.11016297340393064,0.047539091110229456,0.050646162033081,0.0353021621704101,0.0038103580474852993,0.02183790206909175,0.017518782615661577
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_8,246.19461007118224,253.49090366363527,250.5567443370819,0.5510745048522949,47.163284111022946,5.020081615447998,3.890147399902344,0.009083318710327101,4.310735058784485,3.9481550216674806,3.6116997957229615,0.03851404190063471,4.086360216140747,1.653183674812317,2.803150510787964,1.5216140270233154,1.5860353231430053,2.288558554649353,0.2517640829086304,0.20115375518798828,0.15269322395324705,0.9368702173233032,0.09228150844573971,0.7583237409591675,0.1118509769439697,0.055322551727294875,0.054146194458007765,0.03640999794006342,0.00396654605865474,0.02269773483276363,0.016670775413513132
Physicochemical Properties of Protein Tertiary StructureCASP.csv_task_R_target_6,276.8506097078323,278.4425405025482,296.7320040464401,295.4678466558456,257.0737872838974,171.72800211906434,167.68571135997772,243.43736290931702,168.68612537384033,163.84628365039825,165.97373840808868,106.16688976287841,29.9782931804657,38.0074803352356,22.808695459365843,9.256293487548827,37.21873815059662,20.938855600357055,25.39444818496704,8.615544652938842,0.8468228340148926,7.606709313392639,8.98954155445099,1.0373327732086182,4.6749457836151125,0.37890450954437255,0.2709519624710083,0.5208906412124634,0.41762542724609375,0.0311073780059814,0.01887824535369868
QSAR Bioconcentration classes datasetGrisoni_et_al_2016_EnvInt88.csv_task_R_target_-1,238.86773345470428,260.46625692844384,233.4144796848297,251.451665353775,49.91612491607666,5.064941000938416,3.954164147377014,0.00899405479431148,4.156508278846741,3.8770433902740478,3.4712379217147826,0.04292087554931636,4.027830624580384,1.705779790878296,2.7588241338729858,1.566978359222412,1.5440373420715332,2.209499979019165,0.30714437961578367,0.2351222991943359,0.18557217121124267,0.9178664445877075,0.10387420654296872,0.7796208143234253,0.12644574642181391,0.04399089813232417,0.04434564113616939,0.04373996257781977,0.005018472671508739,0.02028532028198237,0.01646730899810785
QSAR aquatic toxicityqsar_aquatic_toxicity.csv_task_R_target_-1,245.9958753585815,238.66677031517034,247.4199259281159,262.0144326448441,51.77360208034516,4.665002083778381,3.526568579673767,0.00542113780975337,4.285714459419251,3.8922030687332154,3.5169223070144655,0.02162835597991939,3.812066602706909,1.2684277057647706,2.4297080516815184,1.1953417539596558,1.5465282917022705,2.2368518114089966,0.23723773956298824,0.1744384527206421,0.4322055816650391,0.9518955230712891,0.082324743270874,0.7913055896759034,0.11438493728637691,0.04894950389862056,0.0494632244110107,0.03128571510314938,0.003917694091796819,0.02268474102020258,0.016155004501342725
QSAR fish toxicityqsar_fish_toxicity.csv_task_R_target_-1,244.46689770221715,259.59008865356446,244.77295186519623,0.9300580739974975,43.84773371219635,4.775132155418396,3.594284105300903,0.01155607700347894,4.30591516494751,3.9534448623657226,3.551732134819031,0.04269421100616451,3.798446869850159,1.3337157011032104,2.4379555940628053,1.2006720066070558,1.5742846727371216,2.305942440032959,0.27418999671936034,0.19410231113433835,0.11939263343811032,0.9526243925094604,0.0931444883346557,0.7587534427642822,0.11368386745452877,0.04438035488128658,0.04440617561340326,0.04927928447723385,0.00446207523345941,0.022158885002136187,0.01664650440216059
Seoul Bike Sharing DemandSeoulBikeData.csv_task_R_target_1,255.93242566585545,274.20080506801605,265.1257600307464,254.74264469146732,89.21633336544036,11.999422025680541,10.135813665390014,2.8259295225143433,10.14804811477661,9.171688675880432,9.207828640937805,3.030130410194397,6.373907804489136,3.3998687744140623,4.346628499031067,2.4193177461624145,2.6781463384628297,2.888650369644165,2.7760969400405884,1.5939270496368407,0.21218817234039306,1.2829506397247314,0.7401792287826539,0.8710676908493042,0.5475963592529297,0.08744549751281736,0.09021909236907952,0.15645537376403806,0.04470593929290768,0.02445178031921383,0.016470932960510203
Servoservo.data_task_R_target_-1,266.43995201587677,0.24593379497528076,0.7214499950408936,0.4705070495605469,8.32831518650055,4.5939847230911255,3.390179705619812,0.0028569459915160603,4.413095474243164,3.9671065330505373,3.6058102369308473,0.00375418663024897,3.742016863822937,1.0919471502304077,2.29228732585907,0.9796957969665527,1.5434628486633302,2.36832013130188,0.10955631732940671,0.0867074012756347,0.026150894165039,0.9097405910491944,0.027195119857788053,0.7189832925796509,0.03842957019805904,0.041655564308166464,0.04267027378082272,0.011058211326599069,0.00139651298522943,0.0028563261032104,0.01740226745605463
Yacht Hydrodynamicsyacht_hydrodynamics.data_task_R_target_-1,263.9666469335556,252.89258933067327,253.64933600425724,252.66942577362062,9.839508295059204,5.136720752716064,3.67257342338562,0.00525410175323481,4.177677178382874,3.9029668807983398,3.593979549407959,0.00760715007781978,4.03287284374237,1.3857315301895141,2.4859169244766237,1.1258798122406006,2.087873697280884,2.278309679031372,0.1438647985458374,0.11722171306610103,0.010744738578796341,0.9764612913131714,0.03684339523315424,0.7171508073806763,0.042410135269164984,0.03776338100433345,0.038251852989196755,0.018070960044860772,0.00205874443054194,0.00444021224975581,0.03551104068756099
arashnic_marketing-seris-customer-lifetime-valuesquark_automotive_CLV_training_data.csv_task_R_target_2,2.242953586578369,0.994970154762268,0.9270245790481567,1.5700062751770019,22.353624749183655,24.98822247982025,11.860725331306458,0.02184522151947015,4.342309951782227,4.023294520378113,3.5847198247909544,0.111131739616394,24.911482214927673,13.810908102989197,13.208453154563903,14.421812772750854,1.4988980054855348,2.3611765623092653,0.27001423835754396,0.23838071823120116,0.04508965015411373,0.9132860660552978,0.0833508729934692,0.7800905466079712,0.11411871910095213,0.03608114719390866,0.034916114807128855,0.047950220108032196,0.003987050056457479,0.00270006656646725,0.0168746709823608
harlfoxem_housesalespredictionkc_house_data.csv_task_R_target_2,2.9868046760559084,3.926934266090393,2.8226375818252563,9.658467650413513,54.829952764511106,31.054607009887697,23.39466314315796,7.622742056846619,17.311677718162535,16.031534838676453,16.245219230651855,4.890719413757324,19.87708854675293,14.539858603477478,11.992377114295959,13.368515515327454,4.005102324485779,4.230657076835632,0.33262178897857664,0.3166879892349243,0.07528996467590329,1.5289909601211549,0.19316709041595456,0.9303937196731568,0.3275514841079712,0.06342847347259517,0.060956883430480904,0.12924118041992183,0.00439703464508052,0.0041728258132933994,0.014219641685485793
how-much-did-it-rain-iitrain_task_R_target_-1,2.320145511627197,3.318405508995056,2.6213319301605225,5.253334188461304,257.27862384319303,27.98328866958618,26.877378988265992,0.515462851524353,5.506369304656983,5.24714093208313,5.016764998435974,7.089262342453003,25.90063407421112,28.10646903514862,25.536834049224854,27.54795410633087,1.6997046947479248,2.3021658658981323,5.410882568359375,8.15468888282776,0.879860806465149,1.0088422298431396,1.7796283960342407,1.8304336071014404,3.426577854156494,1.436661434173584,1.2338127851486207,0.22834081649780275,0.09740316867828365,0.11574935913085933,0.022483754158019974
mercedes-benz-greener-manufacturingtrain.csv_task_R_target_1,2.4650121212005613,3.9509621620178224,2.9075337648391724,8.016686058044433,109.44294080734252,24.29487223625183,16.03711142539978,2.0929735898971558,9.181919932365417,8.485315752029418,8.45262234210968,18.0772221326828,18.689128351211547,15.743258094787597,12.42919020652771,14.63143744468689,2.2746042251586913,2.4855687379837037,4.129041409492492,4.521168422698975,0.2933013916015625,1.0051352024078368,1.205122447013855,1.275439691543579,1.5164267539978027,0.11071391105651851,0.11296207904815672,0.1984966993331909,0.06741554737091061,0.02657785415649409,0.017421650886535606
mirichoi0218_insuranceinsurance.csv_task_R_target_-1,2.1263508796691895,1.5901060581207276,2.1935592889785767,1.7829170942306518,59.583719563484195,19.17537727355957,16.690390968322752,0.0024537801742553203,4.00793616771698,3.820402979850769,3.4298147916793824,0.00915701389312738,17.805353236198425,15.814718198776244,15.54952130317688,15.621852898597718,1.4361231803894043,2.1229994773864744,0.2584796667098999,0.2818409204483032,0.8857635736465455,0.8388406038284302,0.08791418075561519,0.815760612487793,0.13853042125701903,3.4702940940856934,2.413972282409668,0.016698670387268022,0.00416371822357172,0.0064574003219604,0.012419509887695251
wiki4HEwiki4HE.csv_task_R_target_-10,242.7963274478913,261.4994322061538,240.91839251518255,260.45988659858705,59.872833895683286,5.161065793037414,3.895361089706421,0.015055084228515573,4.132926321029663,3.8341469764709473,3.5483322620391844,0.3362395763397217,4.2116410493850704,1.7335803508758545,2.840561842918396,1.6107385873794555,1.5719494104385376,2.2785993099212645,1.0032660722732545,1.3559545755386353,0.7693768739700317,0.9783453464508056,0.35051252841949465,0.9088183879852295,0.6234993219375611,0.4183058500289917,0.40804669857025144,0.08560526371002193,0.01836395263671871,0.04741914272308346,0.01764788627624507
wiki4HEwiki4HE.csv_task_R_target_-11,232.84230892658235,257.7579807281494,261.0495962619782,261.8535479307174,59.90663242340088,5.402611207962036,3.918430519104004,0.01597089767456051,4.211577773094177,3.876282262802124,3.554415798187256,0.35185942649841306,4.628291130065918,1.8756120681762696,2.93868408203125,1.7518631935119628,1.608773446083069,2.3812121152877808,1.011397409439087,1.487454891204834,1.1038126707077027,0.9999210596084595,0.3530250072479248,0.9419286251068115,0.620378041267395,0.3615199089050293,0.34216063022613524,0.0853260993957519,0.020406222343444767,0.04375967979431149,0.017055058479309017
